Ahjus k체psetatud punane kalafilee;100.0;233.0;22.14;16.0;0.28
Valge kaste maitserohelisega;100.0;83.0;1.9;6.04;5.67
K체psetatud kaalikapulgad;65.0;36.0;0.8;1.54;5.77
Keedetud kartulid (mahe);65.0;68.0;1.73;0.09;15.38
Keedetud p채rl kuskuss;65.0;81.0;2.5;1.69;14.22;1
Punane kapsas (mahe), k천rvits, porgand (mahe), spinat;150.0;36.0;1.99;0.45;7.35
Kastmevalik salatitele;20.0;113.0;0.2;12.13;0.94
Seemnesegu;20.0;110.0;4.56;8.74;4.97
Kodujuust;20.0;20.0;2.8;0.8;0.48
Vesi;180.0;0.0;0.0;0.0;0.0
Maitsevesi;180.0;3.0;0.13;0.17;0.86
Marjamorss;180.0;75.0;0.28;0.03;18.0
Piimatooted (keefir 2.5%, mahe piim 4-4.4%);180.0;101.0;6.56;4.78;8.15
Leivatoodete valik sh rukkileib (5 sorti);100.0;287.0;8.21;3.36;53.24
Apelsin;70.0;30.0;0.77;0.07;7.14
Valge redis;100.0;16.0;1.0;0.1;3.5