Kala pikkpoiss (mahe sibul ja muna);60;124;9.33;7.36;5.17
Kohupiima - kartulikotlet (mahe kartul, muna ja oad);60;88;4.09;2.48;12.74
Valge kaste maitserohelisega;100;83;1.90;6.04;5.67
Küpsetatud kaalikapulgad (mahe);60;33;0.74;1.42;5.33
Keedetud kartulid (mahe);60;62;1.60;0.08;14.20
Keedetud pärl kuskuss;60;75;2.30;1.56;13.12
Punane kapsas (mahe), kõrvits, porgand (mahe), spinat;120;29;1.59;0.36;5.88
Kastmevalik salatitele;10;56;0.12;6.09;0.24
Seemnesegu;6;33;1.37;2.62;1.49
Kodujuust R4%;10;10;1.40;0.40;0.24
Vesi;180;0;0;0;0
Maitsevesi;180;3;0.13;0.17;0.86
Marjamorss;180;75;0.28;0.03;18.00
Piimatooted (mahe piim 4-4.4%, keefir 2.5%);20;11;0.65;0.53;0.91
Leivatoodete valik sh rukkileib (5 sorti);70;201;5.74;2.35;37.27
Õun (mahe);70;28;0.14;0.25;6.93
Valge redis;100;16;1.00;0.10;3.50