Kodune sealihakaste (mahe porgand ja sibul);150.0;155.0;8.86;10.69;6.50
Roheline ratatouille;300;123;7.64;0.88;22.33
Aurutatud brokoli (mahe läätsed ja sibul);60;18;1.84;0.20;3.21
Keedetud täistera pasta/keedetud pasta (mahe);60;100;2.81;2.31;16.38
Keedetud läätsed (mahe) ;60;95;6.50;0.45;14.13
Jääsalat, porgand (mahe), redis, peet (mahe);120;33;1.41;0.27;6.87
Kastmevalik salatitele;15;84;0.17;9.13;0.36 
Seemnesegu;3;16;0.68;1.31;0.74 
Vesi;180;0;0;0;0
Maitsevesi;180;3;0.13;0.17;0.86
Mahlajook (mahe õunamahl);180;43;0.02;0.02;10.35
Piimatooted (mahe piim 4-4.4%, keefir 2.5%);20;11;0.65;0.53;0.91
Leivatoodete valik sh rukkileib (5 sorti);90;259;7.39;3.03;47.91
Pirn;70;30;0.28;0.28;7.42
Kaalikas;100;31;1.00;0.30;7.30